Open Time,Open,High,Low,Close,Volume
2021-10-02,3309.91000000,3469.00000000,3257.00000000,3387.76000000,422551.18110000
2021-10-01,3000.62000000,3330.00000000,2969.07000000,3309.91000000,648714.61510000
2021-09-30,2850.45000000,3048.42000000,2837.19000000,3000.61000000,506896.76120000
2021-09-29,2805.15000000,2950.00000000,2782.00000000,2850.45000000,411305.08930000
2021-09-28,2924.76000000,2970.82000000,2789.00000000,2804.91000000,511325.46430000
2021-09-27,3059.36000000,3164.94000000,2922.71000000,2925.59000000,510130.73190000
2021-09-26,2921.84000000,3115.51000000,2738.17000000,3059.37000000,703594.47800000
2021-09-25,2928.22000000,2967.52000000,2801.57000000,2921.73000000,491974.02260000
2021-09-24,3152.41000000,3158.52000000,2733.00000000,2928.53000000,932090.88560000
2021-09-23,3076.92000000,3174.50000000,3033.85000000,3152.50000000,459293.88580000
2021-09-22,2766.72000000,3088.88000000,2737.54000000,3076.92000000,677457.64825000
2021-09-21,2977.32000000,3105.83000000,2652.00000000,2765.90000000,971519.88941000
2021-09-20,3328.57000000,3347.82000000,2913.39000000,2977.28000000,917939.57849000
2021-09-19,3435.64000000,3456.53000000,3277.74000000,3328.62000000,312948.00130000
2021-09-18,3399.89000000,3541.96000000,3368.88000000,3435.64000000,315162.76270000
2021-09-17,3567.97000000,3594.17000000,3350.07000000,3399.81000000,398888.37050000
2021-09-16,3613.55000000,3676.28000000,3481.14000000,3567.98000000,467985.49190000
2021-09-15,3434.37000000,3616.16000000,3357.78000000,3613.55000000,428507.52780000
2021-09-14,3285.09000000,3437.05000000,3269.95000000,3434.37000000,373634.90260000
2021-09-13,3404.30000000,3430.30000000,3108.49000000,3285.35000000,647855.71990000
2021-09-12,3267.10000000,3474.16000000,3231.10000000,3404.21000000,408858.95950000
2021-09-11,3208.85000000,3348.37000000,3200.00000000,3267.21000000,413524.17610000
2021-09-10,3424.94000000,3514.11000000,3150.00000000,3208.86000000,633026.26590000
2021-09-09,3499.01000000,3567.06000000,3390.40000000,3424.93000000,628553.88310000
2021-09-08,3434.84000000,3560.00000000,3215.16000000,3499.00000000,780611.76570000
2021-09-07,3926.67000000,3947.15000000,3005.00000000,3434.57000000,1203536.00209000
2021-09-06,3950.28000000,3970.00000000,3864.30000000,3926.77000000,397768.57830000
2021-09-05,3885.61000000,3980.00000000,3830.00000000,3950.29000000,365759.85970000
2021-09-04,3938.11000000,3970.00000000,3832.50000000,3885.52000000,364478.11930000
2021-09-03,3785.82000000,4027.88000000,3705.05000000,3938.11000000,655903.75739000
2021-09-02,3826.82000000,3836.80000000,3717.04000000,3785.82000000,525165.79960000
2021-09-01,3429.19000000,3842.00000000,3382.22000000,3826.82000000,845759.95868000
2021-08-31,3229.14000000,3476.00000000,3188.77000000,3429.20000000,863071.13092000
2021-08-30,3223.47000000,3347.95000000,3143.00000000,3229.64000000,625347.27541000
2021-08-29,3244.75000000,3285.00000000,3152.34000000,3223.47000000,335806.78270000
2021-08-28,3273.89000000,3287.00000000,3210.31000000,3244.48000000,262360.34921000
2021-08-27,3093.06000000,3280.00000000,3060.18000000,3273.45000000,451027.80711000
2021-08-26,3226.88000000,3250.00000000,3053.30000000,3093.20000000,442298.47372000
2021-08-25,3170.63000000,3248.00000000,3080.00000000,3226.87000000,483697.69444000
2021-08-24,3321.28000000,3357.85000000,3147.31000000,3170.62000000,540480.07853000
2021-08-23,3238.00000000,3377.89000000,3230.02000000,3321.28000000,602103.44614000
2021-08-22,3223.36000000,3272.00000000,3126.42000000,3238.00000000,406479.07654000
2021-08-21,3284.81000000,3309.16000000,3207.00000000,3223.43000000,421156.09084000
