open_ts_int,open_ts_str,open,high,low,close,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume,open,high,low,volume
1641747600000,2022-01-09 17:00:00,3159.97,3177.86,3148.35,3166.66,18713.257,3138.15,3140.53,3122.0,5433.2038,3127.51,3140.0,3103.13,12408.7235,3107.82,3116.5,3093.18,12785.2981,3096.81,3111.0,3084.81,9810.5785,3106.8,3135.32,3106.28,10128.1456,3128.42,3135.0,3104.57,8474.6559,3109.74,3130.06,3085.01,10422.6327,3086.07,3116.64,3085.83,9145.7084,3097.88,3104.85,3072.71,13856.3158,3098.06,3160.0,3092.34,18744.8401
1641744000000,2022-01-09 16:00:00,3098.06,3160.0,3092.34,3159.96,18744.8401,3123.04,3146.0,3118.81,7811.1306,3138.15,3140.53,3122.0,5433.2038,3127.51,3140.0,3103.13,12408.7235,3107.82,3116.5,3093.18,12785.2981,3096.81,3111.0,3084.81,9810.5785,3106.8,3135.32,3106.28,10128.1456,3128.42,3135.0,3104.57,8474.6559,3109.74,3130.06,3085.01,10422.6327,3086.07,3116.64,3085.83,9145.7084,3097.88,3104.85,3072.71,13856.3158
1641740400000,2022-01-09 15:00:00,3097.88,3104.85,3072.71,3098.05,13856.3158,3140.82,3147.53,3118.4,7608.4069,3123.04,3146.0,3118.81,7811.1306,3138.15,3140.53,3122.0,5433.2038,3127.51,3140.0,3103.13,12408.7235,3107.82,3116.5,3093.18,12785.2981,3096.81,3111.0,3084.81,9810.5785,3106.8,3135.32,3106.28,10128.1456,3128.42,3135.0,3104.57,8474.6559,3109.74,3130.06,3085.01,10422.6327,3086.07,3116.64,3085.83,9145.7084
1641736800000,2022-01-09 14:00:00,3086.07,3116.64,3085.83,3097.87,9145.7084,3120.56,3143.5,3116.38,8252.2055,3140.82,3147.53,3118.4,7608.4069,3123.04,3146.0,3118.81,7811.1306,3138.15,3140.53,3122.0,5433.2038,3127.51,3140.0,3103.13,12408.7235,3107.82,3116.5,3093.18,12785.2981,3096.81,3111.0,3084.81,9810.5785,3106.8,3135.32,3106.28,10128.1456,3128.42,3135.0,3104.57,8474.6559,3109.74,3130.06,3085.01,10422.6327
1641733200000,2022-01-09 13:00:00,3109.74,3130.06,3085.01,3085.01,10422.6327,3137.08,3145.86,3118.06,11439.7478,3120.56,3143.5,3116.38,8252.2055,3140.82,3147.53,3118.4,7608.4069,3123.04,3146.0,3118.81,7811.1306,3138.15,3140.53,3122.0,5433.2038,3127.51,3140.0,3103.13,12408.7235,3107.82,3116.5,3093.18,12785.2981,3096.81,3111.0,3084.81,9810.5785,3106.8,3135.32,3106.28,10128.1456,3128.42,3135.0,3104.57,8474.6559
1641729600000,2022-01-09 12:00:00,3128.42,3135.0,3104.57,3109.74,8474.6559,3115.25,3146.25,3110.5,11985.8062,3137.08,3145.86,3118.06,11439.7478,3120.56,3143.5,3116.38,8252.2055,3140.82,3147.53,3118.4,7608.4069,3123.04,3146.0,3118.81,7811.1306,3138.15,3140.53,3122.0,5433.2038,3127.51,3140.0,3103.13,12408.7235,3107.82,3116.5,3093.18,12785.2981,3096.81,3111.0,3084.81,9810.5785,3106.8,3135.32,3106.28,10128.1456
1641726000000,2022-01-09 11:00:00,3106.8,3135.32,3106.28,3128.42,10128.1456,3119.43,3135.71,3092.85,17813.8682,3115.25,3146.25,3110.5,11985.8062,3137.08,3145.86,3118.06,11439.7478,3120.56,3143.5,3116.38,8252.2055,3140.82,3147.53,3118.4,7608.4069,3123.04,3146.0,3118.81,7811.1306,3138.15,3140.53,3122.0,5433.2038,3127.51,3140.0,3103.13,12408.7235,3107.82,3116.5,3093.18,12785.2981,3096.81,3111.0,3084.81,9810.5785
1641722400000,2022-01-09 10:00:00,3096.81,3111.0,3084.81,3106.8,9810.5785,3080.98,3122.3,3057.35,16496.706,3119.43,3135.71,3092.85,17813.8682,3115.25,3146.25,3110.5,11985.8062,3137.08,3145.86,3118.06,11439.7478,3120.56,3143.5,3116.38,8252.2055,3140.82,3147.53,3118.4,7608.4069,3123.04,3146.0,3118.81,7811.1306,3138.15,3140.53,3122.0,5433.2038,3127.51,3140.0,3103.13,12408.7235,3107.82,3116.5,3093.18,12785.2981
1641718800000,2022-01-09 09:00:00,3107.82,3116.5,3093.18,3096.81,12785.2981,3118.46,3119.94,3078.44,11848.0353,3080.98,3122.3,3057.35,16496.706,3119.43,3135.71,3092.85,17813.8682,3115.25,3146.25,3110.5,11985.8062,3137.08,3145.86,3118.06,11439.7478,3120.56,3143.5,3116.38,8252.2055,3140.82,3147.53,3118.4,7608.4069,3123.04,3146.0,3118.81,7811.1306,3138.15,3140.53,3122.0,5433.2038,3127.51,3140.0,3103.13,12408.7235
1641715200000,2022-01-09 08:00:00,3127.51,3140.0,3103.13,3107.58,12408.7235,3078.37,3133.56,3075.51,15143.6376,3118.46,3119.94,3078.44,11848.0353,3080.98,3122.3,3057.35,16496.706,3119.43,3135.71,3092.85,17813.8682,3115.25,3146.25,3110.5,11985.8062,3137.08,3145.86,3118.06,11439.7478,3120.56,3143.5,3116.38,8252.2055,3140.82,3147.53,3118.4,7608.4069,3123.04,3146.0,3118.81,7811.1306,3138.15,3140.53,3122.0,5433.2038
1641711600000,2022-01-09 07:00:00,3138.15,3140.53,3122.0,3127.51,5433.2038,3031.66,3104.13,3024.99,24844.1559,3078.37,3133.56,3075.51,15143.6376,3118.46,3119.94,3078.44,11848.0353,3080.98,3122.3,3057.35,16496.706,3119.43,3135.71,3092.85,17813.8682,3115.25,3146.25,3110.5,11985.8062,3137.08,3145.86,3118.06,11439.7478,3120.56,3143.5,3116.38,8252.2055,3140.82,3147.53,3118.4,7608.4069,3123.04,3146.0,3118.81,7811.1306
1641708000000,2022-01-09 06:00:00,3123.04,3146.0,3118.81,3138.14,7811.1306,3028.75,3055.06,3003.3,22372.1694,3031.66,3104.13,3024.99,24844.1559,3078.37,3133.56,3075.51,15143.6376,3118.46,3119.94,3078.44,11848.0353,3080.98,3122.3,3057.35,16496.706,3119.43,3135.71,3092.85,17813.8682,3115.25,3146.25,3110.5,11985.8062,3137.08,3145.86,3118.06,11439.7478,3120.56,3143.5,3116.38,8252.2055,3140.82,3147.53,3118.4,7608.4069
1641704400000,2022-01-09 05:00:00,3140.82,3147.53,3118.4,3123.04,7608.4069,3009.22,3057.32,3000.0,40262.724,3028.75,3055.06,3003.3,22372.1694,3031.66,3104.13,3024.99,24844.1559,3078.37,3133.56,3075.51,15143.6376,3118.46,3119.94,3078.44,11848.0353,3080.98,3122.3,3057.35,16496.706,3119.43,3135.71,3092.85,17813.8682,3115.25,3146.25,3110.5,11985.8062,3137.08,3145.86,3118.06,11439.7478,3120.56,3143.5,3116.38,8252.2055
1641700800000,2022-01-09 04:00:00,3120.56,3143.5,3116.38,3140.83,8252.2055,3040.84,3080.0,3001.0,56410.6109,3009.22,3057.32,3000.0,40262.724,3028.75,3055.06,3003.3,22372.1694,3031.66,3104.13,3024.99,24844.1559,3078.37,3133.56,3075.51,15143.6376,3118.46,3119.94,3078.44,11848.0353,3080.98,3122.3,3057.35,16496.706,3119.43,3135.71,3092.85,17813.8682,3115.25,3146.25,3110.5,11985.8062,3137.08,3145.86,3118.06,11439.7478
1641697200000,2022-01-09 03:00:00,3137.08,3145.86,3118.06,3120.57,11439.7478,3129.01,3136.57,3035.94,37645.1714,3040.84,3080.0,3001.0,56410.6109,3009.22,3057.32,3000.0,40262.724,3028.75,3055.06,3003.3,22372.1694,3031.66,3104.13,3024.99,24844.1559,3078.37,3133.56,3075.51,15143.6376,3118.46,3119.94,3078.44,11848.0353,3080.98,3122.3,3057.35,16496.706,3119.43,3135.71,3092.85,17813.8682,3115.25,3146.25,3110.5,11985.8062
1641693600000,2022-01-09 02:00:00,3115.25,3146.25,3110.5,3137.06,11985.8062,3160.33,3180.0,3121.87,17453.8168,3129.01,3136.57,3035.94,37645.1714,3040.84,3080.0,3001.0,56410.6109,3009.22,3057.32,3000.0,40262.724,3028.75,3055.06,3003.3,22372.1694,3031.66,3104.13,3024.99,24844.1559,3078.37,3133.56,3075.51,15143.6376,3118.46,3119.94,3078.44,11848.0353,3080.98,3122.3,3057.35,16496.706,3119.43,3135.71,3092.85,17813.8682
1641690000000,2022-01-09 01:00:00,3119.43,3135.71,3092.85,3115.24,17813.8682,3176.3,3183.81,3147.09,18047.3897,3160.33,3180.0,3121.87,17453.8168,3129.01,3136.57,3035.94,37645.1714,3040.84,3080.0,3001.0,56410.6109,3009.22,3057.32,3000.0,40262.724,3028.75,3055.06,3003.3,22372.1694,3031.66,3104.13,3024.99,24844.1559,3078.37,3133.56,3075.51,15143.6376,3118.46,3119.94,3078.44,11848.0353,3080.98,3122.3,3057.35,16496.706
1641686400000,2022-01-09 00:00:00,3080.98,3122.3,3057.35,3119.43,16496.706,3200.39,3205.57,3175.05,9190.9626,3176.3,3183.81,3147.09,18047.3897,3160.33,3180.0,3121.87,17453.8168,3129.01,3136.57,3035.94,37645.1714,3040.84,3080.0,3001.0,56410.6109,3009.22,3057.32,3000.0,40262.724,3028.75,3055.06,3003.3,22372.1694,3031.66,3104.13,3024.99,24844.1559,3078.37,3133.56,3075.51,15143.6376,3118.46,3119.94,3078.44,11848.0353
1641682800000,2022-01-08 23:00:00,3118.46,3119.94,3078.44,3080.95,11848.0353,3201.18,3208.85,3175.05,10334.1321,3200.39,3205.57,3175.05,9190.9626,3176.3,3183.81,3147.09,18047.3897,3160.33,3180.0,3121.87,17453.8168,3129.01,3136.57,3035.94,37645.1714,3040.84,3080.0,3001.0,56410.6109,3009.22,3057.32,3000.0,40262.724,3028.75,3055.06,3003.3,22372.1694,3031.66,3104.13,3024.99,24844.1559,3078.37,3133.56,3075.51,15143.6376
