open_ts_int,open_ts_str,open,high,low,close,volume,open0,close0,volume0,open1,close1,volume1,open2,close2,volume2,open3,close3,volume3,open4,close4,volume4,open5,close5,volume5,open6,close6,volume6,open7,close7,volume7,open8,close8,volume8,open9,close9,volume9,open10,close10,volume10,open11,close11,volume11,open12,close12,volume12,open13,close13,volume13,open14,close14,volume14
1673078400000,2023-01-07 08:00:00,1266.8,1267.11,1264.15,1264.68,10061.9731,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048,1269.68,1269.14,7210.2731,1269.13,1270.95,7631.1586,1270.96,1268.71,5843.8509,1268.71,1266.45,3803.3587,1266.46,1266.54,3026.3217,1266.53,1264.51,6893.3394,1264.51,1264.51,3608.8634,1264.52,1264.83,6522.0494,1264.83,1266.8,2871.9269
1673074800000,2023-01-07 07:00:00,1264.83,1267.0,1264.69,1266.8,2871.9269,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048,1269.68,1269.14,7210.2731,1269.13,1270.95,7631.1586,1270.96,1268.71,5843.8509,1268.71,1266.45,3803.3587,1266.46,1266.54,3026.3217,1266.53,1264.51,6893.3394,1264.51,1264.51,3608.8634,1264.52,1264.83,6522.0494
1673071200000,2023-01-07 06:00:00,1264.52,1264.84,1262.24,1264.83,6522.0494,1248.34,1263.01,37256.7887,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048,1269.68,1269.14,7210.2731,1269.13,1270.95,7631.1586,1270.96,1268.71,5843.8509,1268.71,1266.45,3803.3587,1266.46,1266.54,3026.3217,1266.53,1264.51,6893.3394,1264.51,1264.51,3608.8634
1673067600000,2023-01-07 05:00:00,1264.51,1264.65,1263.6,1264.51,3608.8634,1250.42,1248.33,16624.0297,1248.34,1263.01,37256.7887,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048,1269.68,1269.14,7210.2731,1269.13,1270.95,7631.1586,1270.96,1268.71,5843.8509,1268.71,1266.45,3803.3587,1266.46,1266.54,3026.3217,1266.53,1264.51,6893.3394
1673064000000,2023-01-07 04:00:00,1266.53,1266.54,1263.95,1264.51,6893.3394,1243.89,1250.42,54064.2014,1250.42,1248.33,16624.0297,1248.34,1263.01,37256.7887,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048,1269.68,1269.14,7210.2731,1269.13,1270.95,7631.1586,1270.96,1268.71,5843.8509,1268.71,1266.45,3803.3587,1266.46,1266.54,3026.3217
1673060400000,2023-01-07 03:00:00,1266.46,1267.02,1265.22,1266.54,3026.3217,1243.4,1243.9,7219.3673,1243.89,1250.42,54064.2014,1250.42,1248.33,16624.0297,1248.34,1263.01,37256.7887,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048,1269.68,1269.14,7210.2731,1269.13,1270.95,7631.1586,1270.96,1268.71,5843.8509,1268.71,1266.45,3803.3587
1673056800000,2023-01-07 02:00:00,1268.71,1268.97,1266.03,1266.45,3803.3587,1245.38,1243.4,21924.316,1243.4,1243.9,7219.3673,1243.89,1250.42,54064.2014,1250.42,1248.33,16624.0297,1248.34,1263.01,37256.7887,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048,1269.68,1269.14,7210.2731,1269.13,1270.95,7631.1586,1270.96,1268.71,5843.8509
1673053200000,2023-01-07 01:00:00,1270.96,1271.09,1268.51,1268.71,5843.8509,1248.29,1245.38,6337.553,1245.38,1243.4,21924.316,1243.4,1243.9,7219.3673,1243.89,1250.42,54064.2014,1250.42,1248.33,16624.0297,1248.34,1263.01,37256.7887,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048,1269.68,1269.14,7210.2731,1269.13,1270.95,7631.1586
1673049600000,2023-01-07 00:00:00,1269.13,1270.96,1266.34,1270.95,7631.1586,1249.39,1248.3,8715.9975,1248.29,1245.38,6337.553,1245.38,1243.4,21924.316,1243.4,1243.9,7219.3673,1243.89,1250.42,54064.2014,1250.42,1248.33,16624.0297,1248.34,1263.01,37256.7887,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048,1269.68,1269.14,7210.2731
1673046000000,2023-01-06 23:00:00,1269.68,1271.92,1268.09,1269.14,7210.2731,1247.69,1249.39,6051.5163,1249.39,1248.3,8715.9975,1248.29,1245.38,6337.553,1245.38,1243.4,21924.316,1243.4,1243.9,7219.3673,1243.89,1250.42,54064.2014,1250.42,1248.33,16624.0297,1248.34,1263.01,37256.7887,1263.01,1264.19,24825.8355,1264.19,1263.57,14210.4537,1263.56,1266.74,10602.5274,1266.74,1273.13,25037.1311,1273.12,1265.88,15842.8178,1265.89,1266.27,6309.229,1266.28,1269.68,7460.1048
